batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,batchElapsedMs
28,3,8,20.326,SUCCESS,,75.001
28,4,8,58.079,BUSINESS_REJECTION,BidAmountTooLowException,75.001
28,5,8,52.759,BUSINESS_REJECTION,BidAmountTooLowException,75.001
28,6,8,32.749,SUCCESS,,75.001
28,7,8,45.037,SUCCESS,,75.001
29,0,8,44.803,BUSINESS_REJECTION,BidAmountTooLowException,82.110
29,1,8,51.138,BUSINESS_REJECTION,BidAmountTooLowException,82.110
29,2,8,57.498,BUSINESS_REJECTION,BidAmountTooLowException,82.110
29,3,8,63.017,BUSINESS_REJECTION,BidAmountTooLowException,82.110
29,4,8,22.977,SUCCESS,,82.110
29,5,8,68.900,BUSINESS_REJECTION,BidAmountTooLowException,82.110
29,6,8,37.501,SUCCESS,,82.110
29,7,8,81.986,SUCCESS,,82.110
30,0,8,32.096,BUSINESS_REJECTION,BidAmountTooLowException,80.442
30,1,8,60.037,BUSINESS_REJECTION,BidAmountTooLowException,80.442
30,2,8,45.462,BUSINESS_REJECTION,BidAmountTooLowException,80.442
30,3,8,53.310,BUSINESS_REJECTION,BidAmountTooLowException,80.442
30,4,8,67.179,BUSINESS_REJECTION,BidAmountTooLowException,80.442
30,5,8,38.694,BUSINESS_REJECTION,BidAmountTooLowException,80.442
30,6,8,24.264,SUCCESS,,80.442
30,7,8,80.109,SUCCESS,,80.442
31,0,8,39.634,BUSINESS_REJECTION,BidAmountTooLowException,77.790
31,1,8,27.381,BUSINESS_REJECTION,BidAmountTooLowException,77.790
31,2,8,33.347,BUSINESS_REJECTION,BidAmountTooLowException,77.790
31,3,8,20.643,SUCCESS,,77.790
31,4,8,64.182,BUSINESS_REJECTION,BidAmountTooLowException,77.790
31,5,8,58.275,BUSINESS_REJECTION,BidAmountTooLowException,77.790
31,6,8,51.160,SUCCESS,,77.790
31,7,8,77.529,SUCCESS,,77.790
32,0,8,50.481,BUSINESS_REJECTION,BidAmountTooLowException,72.221
32,1,8,35.903,BUSINESS_REJECTION,BidAmountTooLowException,72.221
32,2,8,45.109,BUSINESS_REJECTION,BidAmountTooLowException,72.221
32,3,8,40.446,BUSINESS_REJECTION,BidAmountTooLowException,72.221
32,4,8,19.727,SUCCESS,,72.221
32,5,8,30.168,SUCCESS,,72.221
32,6,8,59.701,SUCCESS,,72.221
32,7,8,72.012,SUCCESS,,72.221
33,0,8,41.976,BUSINESS_REJECTION,BidAmountTooLowException,60.256
33,1,8,25.406,BUSINESS_REJECTION,BidAmountTooLowException,60.256
33,2,8,31.391,BUSINESS_REJECTION,BidAmountTooLowException,60.256
33,3,8,36.834,BUSINESS_REJECTION,BidAmountTooLowException,60.256
33,4,8,60.186,BUSINESS_REJECTION,BidAmountTooLowException,60.256
33,5,8,53.007,BUSINESS_REJECTION,BidAmountTooLowException,60.256
33,6,8,48.297,BUSINESS_REJECTION,BidAmountTooLowException,60.256
33,7,8,18.646,SUCCESS,,60.256
34,0,8,61.109,BUSINESS_REJECTION,BidAmountTooLowException,61.149
34,1,8,56.139,BUSINESS_REJECTION,BidAmountTooLowException,61.149
34,2,8,33.100,BUSINESS_REJECTION,BidAmountTooLowException,61.149
34,3,8,45.254,BUSINESS_REJECTION,BidAmountTooLowException,61.149
34,4,8,27.981,BUSINESS_REJECTION,BidAmountTooLowException,61.149
34,5,8,39.654,BUSINESS_REJECTION,BidAmountTooLowException,61.149
34,6,8,50.436,BUSINESS_REJECTION,BidAmountTooLowException,61.149
34,7,8,21.055,SUCCESS,,61.149
35,0,8,48.852,BUSINESS_REJECTION,BidAmountTooLowException,74.107
35,1,8,36.891,BUSINESS_REJECTION,BidAmountTooLowException,74.107
35,2,8,42.837,BUSINESS_REJECTION,BidAmountTooLowException,74.107
35,3,8,54.417,BUSINESS_REJECTION,BidAmountTooLowException,74.107
35,4,8,30.520,BUSINESS_REJECTION,BidAmountTooLowException,74.107
35,5,8,73.844,BUSINESS_REJECTION,BidAmountTooLowException,74.107
35,6,8,21.705,SUCCESS,,74.107
35,7,8,66.551,SUCCESS,,74.107
36,0,8,31.118,BUSINESS_REJECTION,BidAmountTooLowException,80.282
36,1,8,56.283,BUSINESS_REJECTION,BidAmountTooLowException,80.282
36,2,8,80.219,BUSINESS_REJECTION,BidAmountTooLowException,80.282
36,3,8,23.412,SUCCESS,,80.282
36,4,8,50.391,BUSINESS_REJECTION,BidAmountTooLowException,80.282
36,5,8,43.599,SUCCESS,,80.282
36,6,8,74.794,BUSINESS_REJECTION,BidAmountTooLowException,80.282
36,7,8,68.560,SUCCESS,,80.282
37,0,8,91.442,BUSINESS_REJECTION,BidAmountTooLowException,91.489
37,1,8,18.721,SUCCESS,,91.489
37,2,8,65.306,BUSINESS_REJECTION,BidAmountTooLowException,91.489
37,3,8,32.513,SUCCESS,,91.489
37,4,8,45.409,SUCCESS,,91.489
37,5,8,59.198,SUCCESS,,91.489
37,6,8,84.738,BUSINESS_REJECTION,BidAmountTooLowException,91.489
37,7,8,77.365,SUCCESS,,91.489
38,0,8,33.421,BUSINESS_REJECTION,BidAmountTooLowException,87.134
38,1,8,87.077,BUSINESS_REJECTION,BidAmountTooLowException,87.134
38,2,8,79.898,BUSINESS_REJECTION,BidAmountTooLowException,87.134
38,3,8,65.641,BUSINESS_REJECTION,BidAmountTooLowException,87.134
38,4,8,71.039,BUSINESS_REJECTION,BidAmountTooLowException,87.134
38,5,8,23.836,SUCCESS,,87.134
38,6,8,56.293,BUSINESS_REJECTION,BidAmountTooLowException,87.134
38,7,8,48.272,SUCCESS,,87.134
39,0,8,66.254,BUSINESS_REJECTION,BidAmountTooLowException,96.577
39,1,8,89.244,BUSINESS_REJECTION,BidAmountTooLowException,96.577
39,2,8,81.426,BUSINESS_REJECTION,BidAmountTooLowException,96.577
39,3,8,26.213,SUCCESS,,96.577
39,4,8,96.437,BUSINESS_REJECTION,BidAmountTooLowException,96.577
39,5,8,73.805,BUSINESS_REJECTION,BidAmountTooLowException,96.577
39,6,8,42.233,SUCCESS,,96.577
39,7,8,57.879,SUCCESS,,96.577
40,0,8,25.319,SUCCESS,,99.392
40,1,8,99.228,BUSINESS_REJECTION,BidAmountTooLowException,99.392
40,2,8,68.174,BUSINESS_REJECTION,BidAmountTooLowException,99.392
40,3,8,76.229,BUSINESS_REJECTION,BidAmountTooLowException,99.392
40,4,8,91.665,BUSINESS_REJECTION,BidAmountTooLowException,99.392
40,5,8,83.515,BUSINESS_REJECTION,BidAmountTooLowException,99.392
40,6,8,42.885,SUCCESS,,99.392
40,7,8,59.649,SUCCESS,,99.392
41,0,8,36.133,BUSINESS_REJECTION,BidAmountTooLowException,89.792
41,1,8,66.263,BUSINESS_REJECTION,BidAmountTooLowException,89.792
41,2,8,89.706,BUSINESS_REJECTION,BidAmountTooLowException,89.792
41,3,8,57.238,BUSINESS_REJECTION,BidAmountTooLowException,89.792
41,4,8,73.902,BUSINESS_REJECTION,BidAmountTooLowException,89.792
41,5,8,82.501,BUSINESS_REJECTION,BidAmountTooLowException,89.792
41,6,8,44.366,BUSINESS_REJECTION,BidAmountTooLowException,89.792
41,7,8,26.051,SUCCESS,,89.792
42,0,8,28.371,SUCCESS,,92.516
42,1,8,56.119,BUSINESS_REJECTION,BidAmountTooLowException,92.516
42,2,8,78.639,BUSINESS_REJECTION,BidAmountTooLowException,92.516
42,3,8,85.631,BUSINESS_REJECTION,BidAmountTooLowException,92.516
42,4,8,69.800,BUSINESS_REJECTION,BidAmountTooLowException,92.516
42,5,8,92.382,BUSINESS_REJECTION,BidAmountTooLowException,92.516
42,6,8,62.921,BUSINESS_REJECTION,BidAmountTooLowException,92.516
42,7,8,46.556,SUCCESS,,92.516
43,0,8,64.506,BUSINESS_REJECTION,BidAmountTooLowException,107.754
43,1,8,107.633,BUSINESS_REJECTION,BidAmountTooLowException,107.754
43,2,8,80.203,BUSINESS_REJECTION,BidAmountTooLowException,107.754
43,3,8,35.139,BUSINESS_REJECTION,BidAmountTooLowException,107.754
43,4,8,71.776,BUSINESS_REJECTION,BidAmountTooLowException,107.754
43,5,8,89.007,BUSINESS_REJECTION,BidAmountTooLowException,107.754
43,6,8,97.371,BUSINESS_REJECTION,BidAmountTooLowException,107.754
43,7,8,26.717,SUCCESS,,107.754
44,0,8,108.798,BUSINESS_REJECTION,BidAmountTooLowException,108.888
44,1,8,50.101,BUSINESS_REJECTION,BidAmountTooLowException,108.888
44,2,8,40.107,BUSINESS_REJECTION,BidAmountTooLowException,108.888
44,3,8,42.043,BUSINESS_REJECTION,BidAmountTooLowException,108.888
44,4,8,24.552,SUCCESS,,108.888
44,5,8,68.393,SUCCESS,,108.888
44,6,8,85.371,SUCCESS,,108.888
44,7,8,100.904,SUCCESS,,108.888
45,0,8,32.350,BUSINESS_REJECTION,BidAmountTooLowException,98.703
45,1,8,39.559,BUSINESS_REJECTION,BidAmountTooLowException,98.703
45,2,8,47.177,BUSINESS_REJECTION,BidAmountTooLowException,98.703
45,3,8,23.666,SUCCESS,,98.703
45,4,8,60.937,SUCCESS,,98.703
45,5,8,85.230,BUSINESS_REJECTION,BidAmountTooLowException,98.703
45,6,8,76.419,SUCCESS,,98.703
45,7,8,98.413,SUCCESS,,98.703
46,0,8,74.614,BUSINESS_REJECTION,BidAmountTooLowException,114.845
46,1,8,114.750,BUSINESS_REJECTION,BidAmountTooLowException,114.845
46,2,8,47.927,BUSINESS_REJECTION,BidAmountTooLowException,114.845
46,3,8,98.518,BUSINESS_REJECTION,BidAmountTooLowException,114.845
46,4,8,36.298,SUCCESS,,114.845
46,5,8,106.675,BUSINESS_REJECTION,BidAmountTooLowException,114.845
46,6,8,64.876,SUCCESS,,114.845
46,7,8,89.976,SUCCESS,,114.845
47,0,8,46.736,BUSINESS_REJECTION,BidAmountTooLowException,88.176
47,1,8,88.082,BUSINESS_REJECTION,BidAmountTooLowException,88.176
47,2,8,53.632,BUSINESS_REJECTION,BidAmountTooLowException,88.176
47,3,8,32.158,BUSINESS_REJECTION,BidAmountTooLowException,88.176
47,4,8,80.584,BUSINESS_REJECTION,BidAmountTooLowException,88.176
47,5,8,38.854,BUSINESS_REJECTION,BidAmountTooLowException,88.176
47,6,8,22.870,SUCCESS,,88.176
47,7,8,69.916,SUCCESS,,88.176
48,0,8,91.646,BUSINESS_REJECTION,BidAmountTooLowException,91.703
48,1,8,23.882,SUCCESS,,91.703
48,2,8,77.296,BUSINESS_REJECTION,BidAmountTooLowException,91.703
48,3,8,70.666,BUSINESS_REJECTION,BidAmountTooLowException,91.703
48,4,8,48.821,BUSINESS_REJECTION,BidAmountTooLowException,91.703
48,5,8,83.992,BUSINESS_REJECTION,BidAmountTooLowException,91.703
48,6,8,40.561,SUCCESS,,91.703
48,7,8,62.703,SUCCESS,,91.703
49,0,8,64.353,BUSINESS_REJECTION,BidAmountTooLowException,86.314
49,1,8,56.500,BUSINESS_REJECTION,BidAmountTooLowException,86.314
49,2,8,48.779,BUSINESS_REJECTION,BidAmountTooLowException,86.314
49,3,8,77.798,BUSINESS_REJECTION,BidAmountTooLowException,86.314
49,4,8,86.158,BUSINESS_REJECTION,BidAmountTooLowException,86.314
49,5,8,32.903,BUSINESS_REJECTION,BidAmountTooLowException,86.314
49,6,8,41.420,BUSINESS_REJECTION,BidAmountTooLowException,86.314
49,7,8,24.524,SUCCESS,,86.314
50,0,8,86.979,BUSINESS_REJECTION,BidAmountTooLowException,87.030
50,1,8,72.142,BUSINESS_REJECTION,BidAmountTooLowException,87.030
50,2,8,79.350,BUSINESS_REJECTION,BidAmountTooLowException,87.030
50,3,8,34.887,BUSINESS_REJECTION,BidAmountTooLowException,87.030
50,4,8,25.637,SUCCESS,,87.030
50,5,8,58.899,BUSINESS_REJECTION,BidAmountTooLowException,87.030
50,6,8,66.111,BUSINESS_REJECTION,BidAmountTooLowException,87.030
50,7,8,51.161,SUCCESS,,87.030
