batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,attemptsUsed,retryCount,conflictCount,exhausted,batchElapsedMs
24,7,8,41.095,SUCCESS,,1,0,0,false,41.288
25,0,8,38.856,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.686
25,1,8,38.959,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.686
25,2,8,38.862,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.686
25,3,8,38.952,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.686
25,4,8,43.568,SUCCESS,,1,0,0,false,43.686
25,5,8,38.651,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.686
25,6,8,38.732,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.686
25,7,8,38.586,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.686
26,0,8,32.166,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.362
26,1,8,37.360,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.362
26,2,8,39.293,SUCCESS,,1,0,0,false,39.362
26,3,8,37.335,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.362
26,4,8,31.446,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.362
26,5,8,35.626,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.362
26,6,8,35.604,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.362
26,7,8,35.581,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.362
27,0,8,36.594,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.467
27,1,8,37.162,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.467
27,2,8,37.141,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.467
27,3,8,37.188,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.467
27,4,8,41.376,SUCCESS,,1,0,0,false,41.467
27,5,8,36.891,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.467
27,6,8,36.346,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.467
27,7,8,36.817,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.467
28,0,8,30.622,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.256
28,1,8,38.202,SUCCESS,,1,0,0,false,38.256
28,2,8,31.288,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.256
28,3,8,31.820,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.256
28,4,8,31.879,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.256
28,5,8,31.324,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.256
28,6,8,30.434,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.256
28,7,8,31.702,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.256
29,0,8,27.961,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.498
29,1,8,28.401,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.498
29,2,8,28.922,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.498
29,3,8,27.975,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.498
29,4,8,34.376,SUCCESS,,1,0,0,false,34.498
29,5,8,27.878,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.498
29,6,8,27.854,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.498
29,7,8,27.817,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.498
30,0,8,28.947,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.018
30,1,8,33.805,SUCCESS,,1,0,0,false,34.018
30,2,8,28.882,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.018
30,3,8,29.369,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.018
30,4,8,28.950,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.018
30,5,8,28.880,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.018
30,6,8,28.717,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.018
30,7,8,28.885,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.018
31,0,8,30.806,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.560
31,1,8,31.462,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.560
31,2,8,31.446,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.560
31,3,8,32.269,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.560
31,4,8,37.489,SUCCESS,,1,0,0,false,37.560
31,5,8,31.360,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.560
31,6,8,31.481,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.560
31,7,8,31.396,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.560
32,0,8,34.117,SUCCESS,,1,0,0,false,34.159
32,1,8,27.896,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.159
32,2,8,29.844,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.159
32,3,8,27.913,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.159
32,4,8,29.264,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.159
32,5,8,29.395,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.159
32,6,8,29.427,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.159
32,7,8,29.299,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.159
33,0,8,26.794,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.129
33,1,8,25.212,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.129
33,2,8,26.180,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.129
